Model,Weight (pounds),Draw,GigabitEthernet Copper,GigabitEthernet SFP,GigabitEthernet Combo,TenGigabitEthernet Copper,TenGigabitEthernet SFP+,TenGigabitEthernet Combo,TwoGigabitEthernet,OOB,con0,con1,con2,psu0,Stacking
C1300-8T-E-2G,3.06,10.65,8,0,2,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-8P-E-2G,3.79,84.86,8,0,2,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-8FP-2G,6.72,141.8,8,0,2,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16T-2G,4.8,11.2,16,2,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16P-2G,5.25,151.8,16,2,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16FP-2G,5.49,275.2,16,2,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-24T-4G,5.8,14.8,24,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-24P-4G,7.78,230.5,24,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-24FP-4G,10.14,436.9,24,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-48T-4G,8.71,38.07,48,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-48P-4G,11.97,437.14,48,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-48FP-4G,14.28,819.41,48,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16P-4X,5.49,156.3,16,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24T-4X,6.92,22.4,24,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24P-4X,8.7,232.9,24,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24FP-4X,10.84,441.2,24,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-48T-4X,9.59,39.77,48,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-48P-4X,14.04,449.48,48,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-48FP-4X,11.38,831.71,48,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-8MGP-2X,5.83,143.4,4,0,0,0,2,0,4,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24MGP-4X,12.2,443.6,16,0,0,0,4,0,8,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-48MGP-4X,12.86,883,32,0,0,0,4,0,16,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-12XT-2X,5.82,52,0,0,0,12,2,0,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-12XS,5.89,26.1,0,0,0,0,10,2,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-16XTS,5.91,35.2,0,0,0,8,8,0,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24XS,9.15,49.02,0,0,0,0,20,4,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24XT,9.45,88,0,0,0,20,0,4,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24XTS,9.25,86.7,0,0,0,12,12,0,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
